timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1649846684318,2175,Home,200,OK,Thread Group 1-2,text,true,,46041,119,10,10,https://lifecharger.org/,1634,0,1029
1649846684151,2466,Home,200,OK,Thread Group 1-1,text,true,,46041,119,11,11,https://lifecharger.org/,1921,0,1196
1649846684807,1923,Home,200,OK,Thread Group 1-4,text,true,,46051,119,11,11,https://lifecharger.org/,1379,0,832
1649846685078,1813,Home,200,OK,Thread Group 1-5,text,true,,46041,119,12,12,https://lifecharger.org/,1281,0,817
1649846685310,1861,Home,200,OK,Thread Group 1-6,text,true,,46041,119,13,13,https://lifecharger.org/,1312,0,834
1649846684560,2865,Home,200,OK,Thread Group 1-3,text,true,,46041,119,14,14,https://lifecharger.org/,1434,0,829
1649846685549,2122,Home,200,OK,Thread Group 1-7,text,true,,46046,119,15,15,https://lifecharger.org/,1311,0,825
1649846686730,1084,archive,200,OK,Thread Group 1-4,text,true,,53933,128,16,16,https://lifecharger.org/archives/,1081,0,0
1649846686050,1959,Home,200,OK,Thread Group 1-9,text,true,,46046,119,16,16,https://lifecharger.org/,1404,0,850
1649846686617,1392,archive,200,OK,Thread Group 1-1,text,true,,53933,128,16,16,https://lifecharger.org/archives/,844,0,0
1649846686299,2101,Home,200,OK,Thread Group 1-10,text,true,,46041,119,18,18,https://lifecharger.org/,1562,0,825
1649846686495,1980,archive,200,OK,Thread Group 1-2,text,true,,53938,128,18,18,https://lifecharger.org/archives/,891,0,0
1649846686892,1598,archive,200,OK,Thread Group 1-5,text,true,,53933,128,18,18,https://lifecharger.org/archives/,1064,0,0
1649846687172,1368,archive,200,OK,Thread Group 1-6,text,true,,53933,128,18,18,https://lifecharger.org/archives/,1094,0,0
1649846686550,2018,Home,200,OK,Thread Group 1-11,text,true,,46051,119,19,19,https://lifecharger.org/,1475,0,832
1649846687814,771,About,200,OK,Thread Group 1-4,text,true,,32681,125,19,19,https://lifecharger.org/about/,487,0,0
1649846687426,1258,archive,200,OK,Thread Group 1-3,text,true,,53933,128,18,18,https://lifecharger.org/archives/,984,0,0
1649846686800,1945,Home,200,OK,Thread Group 1-12,text,true,,46041,119,18,18,https://lifecharger.org/,1393,0,843
1649846687049,1936,Home,200,OK,Thread Group 1-13,text,true,,46046,119,19,19,https://lifecharger.org/,1388,0,838
1649846688009,1181,About,200,OK,Thread Group 1-1,text,true,,32681,125,20,20,https://lifecharger.org/about/,909,0,0
1649846688490,834,About,200,OK,Thread Group 1-5,text,true,,32676,125,20,20,https://lifecharger.org/about/,567,0,0
1649846688540,854,About,200,OK,Thread Group 1-6,text,true,,32676,125,19,19,https://lifecharger.org/about/,579,0,0
1649846688685,758,About,200,OK,Thread Group 1-3,text,true,,32681,125,18,18,https://lifecharger.org/about/,482,0,0
